,metric,value
0,RMSE,17.798104360086572
1,Precision,0.227125243348475
2,Recall,0.227125243348475
3,F1,0.227125243348475
4,MAE,12.251735533721828
5,MSE,316.7725188125327
6,R2,-0.9006256642081174
7,EVS,0.0
8,MedAE,10.800032919149126
9,ME,86.60725107882317
10,2D Error,13.73085415088388
11,fdp,100.0
12,SD,12.910575023227741
13,EVAAL,27.988270251437594
